country,iso3,dev_level,region,year,asset,return_pct,shock_event
USA,USA,developed,NorthAmerica,1985,equities,18.93,
USA,USA,developed,NorthAmerica,1986,equities,11.52,
USA,USA,developed,NorthAmerica,1987,equities,0.58,Black Monday
USA,USA,developed,NorthAmerica,1988,equities,38.04,
USA,USA,developed,NorthAmerica,1989,equities,8.31,
USA,USA,developed,NorthAmerica,1990,equities,18.25,Gulf War / S&L crisis
USA,USA,developed,NorthAmerica,1991,equities,-17.66,Recession
USA,USA,developed,NorthAmerica,1992,equities,13.47,
USA,USA,developed,NorthAmerica,1993,equities,-4.99,
USA,USA,developed,NorthAmerica,1994,equities,14.49,
USA,USA,developed,NorthAmerica,1995,equities,20.9,
USA,USA,developed,NorthAmerica,1996,equities,-12.55,
USA,USA,developed,NorthAmerica,1997,equities,-1.27,Asian Financial Crisis
USA,USA,developed,NorthAmerica,1998,equities,-20.75,LTCM / Russia default
USA,USA,developed,NorthAmerica,1999,equities,29.07,
USA,USA,developed,NorthAmerica,2000,equities,13.36,
USA,USA,developed,NorthAmerica,2001,equities,-0.52,Dot-com bust / 9-11
USA,USA,developed,NorthAmerica,2002,equities,-13.85,Corporate scandals
USA,USA,developed,NorthAmerica,2003,equities,9.64,
USA,USA,developed,NorthAmerica,2004,equities,-14.55,
USA,USA,developed,NorthAmerica,2005,equities,11.8,
USA,USA,developed,NorthAmerica,2006,equities,-5.35,
USA,USA,developed,NorthAmerica,2007,equities,10.17,
USA,USA,developed,NorthAmerica,2008,equities,-16.23,Global Financial Crisis
USA,USA,developed,NorthAmerica,2009,equities,-17.14,GFC trough
USA,USA,developed,NorthAmerica,2010,equities,10.05,
USA,USA,developed,NorthAmerica,2011,equities,-4.39,Euro debt crisis
USA,USA,developed,NorthAmerica,2012,equities,8.13,
USA,USA,developed,NorthAmerica,2013,equities,19.6,
USA,USA,developed,NorthAmerica,2014,equities,16.01,
USA,USA,developed,NorthAmerica,2015,equities,15.13,China slowdown
USA,USA,developed,NorthAmerica,2016,equities,-5.64,
USA,USA,developed,NorthAmerica,2017,equities,20.26,
USA,USA,developed,NorthAmerica,2018,equities,29.68,
USA,USA,developed,NorthAmerica,2019,equities,20.12,
USA,USA,developed,NorthAmerica,2020,equities,-16.47,COVID-19
USA,USA,developed,NorthAmerica,2021,equities,22.19,COVID recovery / stimulus
USA,USA,developed,NorthAmerica,2022,equities,-0.3,Inflation / rate hike cycle
USA,USA,developed,NorthAmerica,2023,equities,6.06,Rates plateau
USA,USA,developed,NorthAmerica,2024,equities,5.05,
Canada,CAN,developed,NorthAmerica,1985,equities,15.61,
Canada,CAN,developed,NorthAmerica,1986,equities,33.6,
Canada,CAN,developed,NorthAmerica,1987,equities,18.55,Black Monday
Canada,CAN,developed,NorthAmerica,1988,equities,13.38,
Canada,CAN,developed,NorthAmerica,1989,equities,14.87,
